"Subject","Language","Encoding","Date","Block","Trial","Scene","View_time","Categoriz_time","X","Y"
"114","Spanish","free","09-26-2012 11:03:04",1,1,"prd_balcol",1449,2680,57,39
"114","Spanish","free","09-26-2012 11:03:04",1,2,"pge_tabgro",970,3011,68,358
"114","Spanish","free","09-26-2012 11:03:04",1,3,"pgm_paqdun",1119,2666,1211,36
"114","Spanish","free","09-26-2012 11:03:04",1,4,"tgd_malnei",1354,3521,101,701
"114","Spanish","free","09-26-2012 11:03:04",1,5,"tgt_cherou",1246,4898,590,59
"114","Spanish","free","09-26-2012 11:03:04",1,6,"pgt_panrou",1032,2398,623,701
"114","Spanish","free","09-26-2012 11:03:04",1,7,"prt_rourou",925,1968,754,700
"114","Spanish","free","09-26-2012 11:03:04",1,8,"tge_chamai",947,3295,1186,327
"114","Spanish","free","09-26-2012 11:03:04",1,9,"trm_voidun",953,4618,1184,695
"114","Spanish","free","09-26-2012 11:03:04",1,10,"tre_cadgro",980,7157,1059,348
"114","Spanish","free","09-26-2012 11:03:04",1,11,"pge_tabmai",1060,11418,756,267
"114","Spanish","free","09-26-2012 11:03:04",1,12,"prm_boutoi",1074,9303,878,33
"114","Spanish","free","09-26-2012 11:03:04",1,13,"trd_bronei",1170,2475,204,703
"114","Spanish","free","09-26-2012 11:03:04",1,14,"pgd_valcol",1400,2166,140,53
"114","Spanish","free","09-26-2012 11:03:04",1,15,"pre_pnemai",966,4226,163,404
"114","Spanish","free","09-26-2012 11:03:04",1,16,"tgm_sacdun",1469,1590,1135,626
"114","Spanish","free","09-26-2012 11:03:04",1,17,"tre_cadmai",777,5458,367,245
"114","Spanish","free","09-26-2012 11:03:04",1,18,"pgd_valnei",1203,6243,373,531
"114","Spanish","free","09-26-2012 11:03:04",1,19,"tgm_sactoi",5354,6342,907,539
"114","Spanish","free","09-26-2012 11:03:04",1,20,"pgt_panrue",1581,28753,496,360
"114","Spanish","free","09-26-2012 11:03:04",1,21,"tgt_cherue",2994,21001,818,397
"114","Spanish","free","09-26-2012 11:03:04",1,22,"prt_rourue",1298,3156,535,366
"114","Spanish","free","09-26-2012 11:03:04",2,1,"pge_tabgro",4224,2765,71,42
"114","Spanish","free","09-26-2012 11:03:04",2,2,"pge_tabmai",1739,2144,1223,36
"114","Spanish","free","09-26-2012 11:03:04",2,3,"pgm_paqtoi",2995,3786,56,352
"114","Spanish","free","09-26-2012 11:03:04",2,4,"tgm_sacdun",1097,3559,1209,351
