"language","subject","videoname","Path","MannerCause","MannerObject","Direction","Ground","Object","Verb_P","Verb_MC","Verb_MO","OutsideV_P","OutsideV_MC","OutsideV_MO"
"Spanish",101,"pgd_valcol",1,1,0,0,1,1,0,1,0,1,0,0
"Spanish",101,"pgd_valnei",1,0,1,0,1,1,0,0,1,1,0,0
"Spanish",101,"pge_tabgro",1,1,0,0,1,1,1,1,0,1,0,0
"Spanish",101,"pge_tabmai",1,1,0,0,1,1,1,1,0,1,0,0
"Spanish",101,"pgm_paqdun",1,1,0,0,1,1,0,1,0,1,0,0
"Spanish",101,"pgm_paqtoi",1,1,0,0,1,1,0,1,0,1,0,0
"Spanish",101,"pgt_panrou",0,0,0,1,1,1,0,0,0,0,0,0
"Spanish",101,"pgt_panrue",0,1,0,0,1,1,0,1,0,0,0,0
"Spanish",101,"prd_balcol",1,1,0,0,1,1,0,1,0,1,0,0
"Spanish",101,"prd_balnei",1,1,1,0,1,1,0,1,1,1,0,0
"Spanish",101,"pre_pnegro",1,1,0,0,1,1,1,1,0,1,0,0
"Spanish",101,"pre_pnemai",1,0,1,0,1,1,0,0,1,1,0,0
"Spanish",101,"prm_boudun",1,0,1,0,1,1,1,0,0,1,0,1
"Spanish",101,"prm_boutoi",1,0,1,0,1,1,0,0,1,1,0,0
"Spanish",101,"prt_rourou",0,0,1,1,1,1,0,0,1,0,0,0
"Spanish",101,"prt_rourue",0,0,1,1,0,1,0,0,1,0,0,0
"Spanish",101,"tgd_malcol",1,0,1,0,1,1,0,0,1,1,0,0
"Spanish",101,"tgd_malnei",1,0,1,0,1,1,0,0,1,1,0,0
"Spanish",101,"tge_chagro",1,1,0,0,1,1,1,1,0,0,0,0
"Spanish",101,"tge_chamai",1,1,0,0,1,1,1,1,0,1,0,0
"Spanish",101,"tgm_sacdun",1,1,0,0,1,1,0,0,0,1,1,0
"Spanish",101,"tgm_sactoi",1,0,0,0,1,1,0,0,0,1,0,0
"Spanish",101,"tgt_cherou",1,0,0,1,1,0,1,0,0,0,0,0
"Spanish",101,"tgt_cherue",0,1,0,1,0,1,0,1,0,0,0,0
"Spanish",101,"trd_brocol",1,0,0,0,1,1,0,0,0,1,0,0
"Spanish",101,"trd_bronei",1,0,1,0,1,1,0,0,1,1,0,0
"Spanish",101,"tre_cadgro",1,1,0,0,1,1,1,1,0,1,0,0
"Spanish",101,"tre_cadmai",1,0,1,0,1,1,1,0,0,0,0,1
"Spanish",101,"trm_voidun",1,1,0,0,1,1,0,1,0,1,0,0
"Spanish",101,"trm_voitoi",1,0,0,0,1,1,1,0,0,1,0,0
"Spanish",101,"trt_pourou",1,1,0,1,1,1,0,1,0,1,0,0
"Spanish",101,"trt_pourue",1,1,0,0,1,1,1,1,0,0,0,0
"Spanish",102,"pgd_valcol",1,1,0,0,0,1,1,0,0,1,1,0
"Spanish",102,"pgd_valnei",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"pge_tabgro",1,1,0,0,1,1,1,1,0,1,0,0
"Spanish",102,"pge_tabmai",1,1,0,0,1,1,1,1,0,1,1,0
"Spanish",102,"pgm_paqdun",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"pgm_paqtoi",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"pgt_panrou",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"pgt_panrue",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"prd_balcol",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"prd_balnei",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"pre_pnegro",1,1,0,0,1,1,1,1,0,1,0,0
"Spanish",102,"pre_pnemai",1,1,0,0,1,1,1,1,0,1,0,0
"Spanish",102,"prm_boudun",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"prm_boutoi",1,0,1,0,1,1,1,0,0,1,0,1
"Spanish",102,"prt_rourou",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"prt_rourue",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"tgd_malcol",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"tgd_malnei",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"tge_chagro",1,1,0,0,1,1,1,1,0,1,0,0
"Spanish",102,"tge_chamai",1,1,0,0,1,1,1,1,0,0,0,0
"Spanish",102,"tgm_sacdun",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"tgm_sactoi",1,1,0,0,1,1,1,0,0,1,1,0
"Spanish",102,"tgt_cherou",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"tgt_cherue",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"trd_brocol",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"trd_bronei",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"tre_cadgro",1,1,0,0,1,1,1,1,0,1,0,0
"Spanish",102,"tre_cadmai",1,1,0,0,1,1,1,1,0,0,0,0
"Spanish",102,"trm_voidun",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"trm_voitoi",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"trt_pourou",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",102,"trt_pourue",1,1,0,0,1,1,1,0,0,0,1,0
"Spanish",103,"pgd_valcol",1,1,0,0,1,1,0,1,0,1,0,0
"Spanish",103,"pgd_valnei",1,1,0,0,1,1,0,1,0,1,0,0
"Spanish",103,"pge_tabgro",1,1,0,0,1,1,0,1,0,1,0,0
"Spanish",103,"pge_tabmai",1,1,0,0,1,1,0,1,0,1,0,0
"Spanish",103,"pgm_paqdun",1,1,0,0,1,1,0,1,0,1,0,0
"Spanish",103,"pgm_paqtoi",1,1,0,0,1,1,0,1,0,1,0,0
