Scene,Path,MannerCause,MannerObject,Direction,Object,Ground,VideoDuration
pgd_valcol,down,push,slide,right-left,suitcase,hill,7600
pgd_valnei,down,push,slide,left-right,suitcase,snowy hill,7400
pge_tabgro,into,push,slide,right-left,table,cave,8000
pge_tabmai,into,push,slide,left-right,table,barn,7400
pgm_paqdun,up,push,slide,left-right,gift,dune,6000
pgm_paqtoi,up,push,slide,right-left,gift,roof,6600
pgt_panrou,across,push,slide,left-right,apple basket,road,6000
pgt_panrue,across,push,slide,right-left,apple basket,street,7800
prd_balcol,down,push,roll,right-left,ball,hill,7600
prd_balnei,down,push,roll,left-right,ball,snowy hill,7000
pre_pnegro,into,push,roll,left-right,wheel,cave,8200
pre_pnemai,into,push,roll,right-left,wheel,barn,7200
prm_boudun,up,push,roll,left-right,rubber ring,dune,6000
prm_boutoi,up,push,roll,right-left,rubber ring,roof,7800
prt_rourou,across,push,roll,left-right,cart wheel,road,6400
prt_rourue,across,push,roll,right-left,cart wheel,street,7000
tgd_malcol,down,pull,slide,left-right,trunk,hill,7000
tgd_malnei,down,pull,slide,right-left,trunk,snowy hill,7400
tge_chagro,into,pull,slide,right-left,chair,cave,8000
tge_chamai,into,pull,slide,left-right,chair,barn,7600
tgm_sacdun,up,pull,slide,left-right,bag,dune,7000
tgm_sactoi,up,pull,slide,right-left,bag,roof,8000
tgt_cherou,across,pull,slide,right-left,rocking horse,road,7000
tgt_cherue,across,pull,slide,left-right,rocking horse,street,6000
trd_brocol,down,pull,roll,left-right,wheelbarrow,hill,8400
trd_bronei,down,pull,roll,right-left,wheelbarrow,snowy hill,8000
tre_cadgro,into,pull,roll,left-right,shopping cart,cave,7600
tre_cadmai,into,pull,roll,right-left,shopping cart,barn,7000
trm_voidun,up,pull,roll,left-right,toy car,dune,6600
trm_voitoi,up,pull,roll,right-left,toy car,roof,7000
trt_pourou,across,pull,roll,right-left,pram,road,6800
trt_pourue,across,pull,roll,left-right,pram,street,6800
